HỘI THOẠI.|Hôi điên .
- Bác Thanh đi đâu sớm thế?|- nă Thanh năm tơyơ sruôih tơnglơ̆i ? .
- Tôi tập thể dục|- inh pơtơ̆p thê jŭk .
- Hôm nào bác cũng dậy từ sáng sớm như thế này à?|- ngoh như nă kung yung đưng bơgê sruôih in noh yơh ? .
- Ừ, trừ những hôm trời mưa.|- ư̆ , tuk rim ngoh plĕnh 'mi .
- Bác ăn sáng chưa?|- mih sa rang đim ? .
- Chưa. Ngủ dậy tôi đi tập thể dục ngay.|- đim . 'yung đưng tep inh năm pơtơ̆p thê jŭk rĕnh rê̆ .
- Sáng nay bác định làm gì?|- rang ahrĕi nă wă pơm yưng ? .
- Lát nữa tôi lên họp ở ủy ban xã. Họp xong đi xuống làng Kon Đruch để cùng bà con bàn chuyện làm đường.|- lêl piêu inh suôn hop lơ̆m ubnd sa . Hop hơleh năm jul pơlĕi Kon Đruch sư̆ adrĭng nă ma 'ban tơdrong pơm trong .
- Gần trưa bác có về nhà không?|- jê̆ 'năr dưng nă ơĭ lơm hnam bĭ ? .
- Có thể xế chiều tôi mới về được.|- ơĭ tơdrong kơsơ̆ hyưm inh 'nau priêu đĕi .
- Nếu trưa nay bác không về thì chập tối mời bác sang nhà tôi uống rượu mừng nhà mới nhé! //Câu này không dịch được
- Ừ, tối tôi đến. Nhưng tôi nói trước, tôi chỉ đến một lúc thôi, tôi không ở đến khuya đâu.|- ư̆ , klăm inh truh . Mă lĕi inh akhan adrol , inh pơchi truh minh hĕi trương , inh bĭ uĕi truh anong măng tơyơ . 
