LỜI MẸ DẶN|Bơ̆l mĭ pơkă .
Sáng thứ bảy, bố mẹ Yôl đi xuống Quy Nhơn để thăm bác Cường ốm. Yôl phải trông nhà. Trước khi đi, mẹ dặn:|Rang Thư̆ Tơpơh , 'bă mĭ Yôl năm jul Quy Nhơn sư̆ tơmang nă Cường jĭ . Yôl phai ngŏ hnam . Adrol kơchang năm , mĭ pơkă : .
- Ở nhà, con phải cho lợn, gà ăn. Không được đi chơi nhé!|- lơ̆m hnam , tŏ phai ăn nhŭng , yĕr sa . Bĭ đĕi năm sơhmanh yơh ! .
- Thế có phải chăn trâu không ạ?|- tơnglơ̆i ơĭ phai kiê̆ kơpô bĭ năng ? .
- Không thả trâu. Con lấy ít rơm cho trâu ăn là được rồi.|- bĭ tơ'nglaih kơpô . Tŏ 'yŏk 'biê̆ hơnong ăn kơpô sa la đĕi bơih .
- Bao giờ mẹ về?|- lanhư mĭ sưt ? .
- Chiều tối. Con nhớ nấu cơm đấy nhé. Mẹ đã đi chợ rồi.|- kơsơ̆ . Pôm 'blŏk ơ̆p ngoh ơ̆i yơh . Mĭ jơh năm chơ̆ bơih .
Thức ăn để trên gác bếp.|Đô sa sư̆ kơpưng ŏ tơnuh .
- Thế hôm nay chị Lan có sang không hẳ mẹ?|- tơnglơ̆i 'năr adrơu mai Lan ơĭ kua bĭ khôn mĭ ? .
- Không. Buổi trưa chỉ một mình con ăn thôi. À con nhớ phải học bài đấy nhé!|- bĭ . Kơ'năr dưng pơchi minh nu pôm sa trương . Yơh pôm băt phai hok tơdrong 'noh yơh ! .
Yôl vâng lời và làm theo lời mẹ dặn.|Yôl weng diong bơ̆l mĭ pơkă .
