BÁN CỦI|Tĕch 'long ŭnh .
Chị Sá là người chăm chỉ. Những lúc rảnh rỗi chị thường đi lấy củi. Nhà chị nhiều củi lắm. Hôm nay chị đi chợ bán củi.|Mai Sá la bơngai pơnam . Rim jơnang aleh mai dach năm 'yŏk 'long ŭnh 'long ŭnh . Hnam mai lư 'long ŭnh tơpă . 'năr adrơu mai năm chơ̆ tĕch 'long ŭnh .
Một thanh niên hỏi:|Một nă ma apinh : .
- Em bán củi đấy à?|- oh tĕch 'long ŭnh ơ̆i yơh ? .
Chị vui vẻ trả lời:|Mai bui akhan ăn : .
- Vâng, anh mua đi!|- bĭ , 'nhŏng ruôt bĕ ! .
- Em đi lấy có xa không?|- oh năm yŏk ơĭ hlŏ bĭ ? .
- Xa lắm. Phải qua hai con suối, hai ngọn núi mới tới nơi đấy.|- hlŏ dêh . Phai kua 'bar hlak sơđiêng đak , 'bar pla kông 'nau truh dơnŏ 'noh .
- Mỗi bó củi giá bao nhiêu?|- minh bŏ 'long ŭnh jă dôm ? .
- Mười ngàn đồng.|- mười hơbơ̆u adơi .
- Anh mua bó này. Bao giờ em lại đi lấy củi?|- 'nhŏng ruôt bŏ 'nơ̆u . Layơ oh piêu năm 'yŏk 'long ŭnh ? .
- Ngày kia anh ạ.|- năr dơmuônh kơnh 'nhŏng năng .
- Cho anh đi cùng với nhé?|- ăn 'nhŏng năm adrĭng yơh ? .
- Được thôi, nếu anh không nói dối.|- đĕi trương , tơ̆ng 'nhŏng bĭ tơja .
- Người thanh niên trả tiền, rồi đi về phía cuối chợ. Chị Sá chăm chú nhìn theo: người đâu mà dễ thương đến thế!|- bơngai nă ma kla jên , 'noh năm sưt gah tuôch chơ̆ . Mai Sá pơglŏng ngŏ thoi : bơngai tơyơ mă lĕi hlău thương truh lơ̆i ! .
